,DateTime,RealPower,Fecha,vacaciones,clases_verano,Min Temp (C),Max Temp (C),Avg Temp (C),Sunrise,Sunset,suma_final
81,2019-12-31 03:30:00,38.455,2019-12-31,1.0,0.0,8.89,23.33,16.11,06:50:00,16:52:00,11:51:32
82,2019-12-31 03:15:00,38.443,2019-12-31,1.0,0.0,8.89,23.33,16.11,06:50:00,16:52:00,11:51:32
83,2019-12-31 03:00:00,38.343,2019-12-31,1.0,0.0,8.89,23.33,16.11,06:50:00,16:52:00,11:51:32
84,2019-12-31 02:45:00,38.295,2019-12-31,1.0,0.0,8.89,23.33,16.11,06:50:00,16:52:00,11:51:32
85,2019-12-31 02:30:00,38.393,2019-12-31,1.0,0.0,8.89,23.33,16.11,06:50:00,16:52:00,11:51:32
86,2019-12-31 02:15:00,38.411,2019-12-31,1.0,0.0,8.89,23.33,16.11,06:50:00,16:52:00,11:51:32
87,2019-12-31 02:00:00,38.702,2019-12-31,1.0,0.0,8.89,23.33,16.11,06:50:00,16:52:00,11:51:32
88,2019-12-31 01:45:00,38.877,2019-12-31,1.0,0.0,8.89,23.33,16.11,06:50:00,16:52:00,11:51:32
89,2019-12-31 01:30:00,38.628,2019-12-31,1.0,0.0,8.89,23.33,16.11,06:50:00,16:52:00,11:51:32
90,2019-12-31 01:15:00,38.575,2019-12-31,1.0,0.0,8.89,23.33,16.11,06:50:00,16:52:00,11:51:32
91,2019-12-31 01:00:00,38.372,2019-12-31,1.0,0.0,8.89,23.33,16.11,06:50:00,16:52:00,11:51:32
92,2019-12-31 00:45:00,38.396,2019-12-31,1.0,0.0,8.89,23.33,16.11,06:50:00,16:52:00,11:51:32
93,2019-12-31 00:30:00,38.346,2019-12-31,1.0,0.0,8.89,23.33,16.11,06:50:00,16:52:00,11:51:32
94,2019-12-31 00:15:00,38.268,2019-12-31,1.0,0.0,8.89,23.33,16.11,06:50:00,16:52:00,11:51:32
95,2019-12-31 00:00:00,38.423,2019-12-31,1.0,0.0,8.89,23.33,16.11,06:50:00,16:52:00,11:51:32
96,2019-12-30 23:45:00,38.47,2019-12-30,1.0,0.0,10.0,17.78,13.89,06:50:00,16:52:00,11:51:19
97,2019-12-30 23:30:00,38.761,2019-12-30,1.0,0.0,10.0,17.78,13.89,06:50:00,16:52:00,11:51:19
98,2019-12-30 23:15:00,38.436,2019-12-30,1.0,0.0,10.0,17.78,13.89,06:50:00,16:52:00,11:51:19
99,2019-12-30 23:00:00,38.585,2019-12-30,1.0,0.0,10.0,17.78,13.89,06:50:00,16:52:00,11:51:19
100,2019-12-30 22:45:00,39.053,2019-12-30,1.0,0.0,10.0,17.78,13.89,06:50:00,16:52:00,11:51:19
101,2019-12-30 22:30:00,38.955,2019-12-30,1.0,0.0,10.0,17.78,13.89,06:50:00,16:52:00,11:51:19
102,2019-12-30 22:15:00,39.007,2019-12-30,1.0,0.0,10.0,17.78,13.89,06:50:00,16:52:00,11:51:19
103,2019-12-30 22:00:00,38.817,2019-12-30,1.0,0.0,10.0,17.78,13.89,06:50:00,16:52:00,11:51:19
104,2019-12-30 21:45:00,38.71,2019-12-30,1.0,0.0,10.0,17.78,13.89,06:50:00,16:52:00,11:51:19
105,2019-12-30 21:30:00,38.957,2019-12-30,1.0,0.0,10.0,17.78,13.89,06:50:00,16:52:00,11:51:19
106,2019-12-30 21:15:00,38.863,2019-12-30,1.0,0.0,10.0,17.78,13.89,06:50:00,16:52:00,11:51:19
107,2019-12-30 21:00:00,38.909,2019-12-30,1.0,0.0,10.0,17.78,13.89,06:50:00,16:52:00,11:51:19
108,2019-12-30 20:45:00,38.771,2019-12-30,1.0,0.0,10.0,17.78,13.89,06:50:00,16:52:00,11:51:19
109,2019-12-30 20:30:00,38.758,2019-12-30,1.0,0.0,10.0,17.78,13.89,06:50:00,16:52:00,11:51:19
110,2019-12-30 20:15:00,38.953,2019-12-30,1.0,0.0,10.0,17.78,13.89,06:50:00,16:52:00,11:51:19
111,2019-12-30 20:00:00,39.068,2019-12-30,1.0,0.0,10.0,17.78,13.89,06:50:00,16:52:00,11:51:19
112,2019-12-30 19:45:00,39.108,2019-12-30,1.0,0.0,10.0,17.78,13.89,06:50:00,16:52:00,11:51:19
113,2019-12-30 19:30:00,38.916,2019-12-30,1.0,0.0,10.0,17.78,13.89,06:50:00,16:52:00,11:51:19
114,2019-12-30 19:15:00,38.788,2019-12-30,1.0,0.0,10.0,17.78,13.89,06:50:00,16:52:00,11:51:19
115,2019-12-30 19:00:00,39.16,2019-12-30,1.0,0.0,10.0,17.78,13.89,06:50:00,16:52:00,11:51:19
116,2019-12-30 18:45:00,39.036,2019-12-30,1.0,0.0,10.0,17.78,13.89,06:50:00,16:52:00,11:51:19
117,2019-12-30 18:30:00,39.493,2019-12-30,1.0,0.0,10.0,17.78,13.89,06:50:00,16:52:00,11:51:19
118,2019-12-30 18:15:00,38.884,2019-12-30,1.0,0.0,10.0,17.78,13.89,06:50:00,16:52:00,11:51:19
119,2019-12-30 18:00:00,39.085,2019-12-30,1.0,0.0,10.0,17.78,13.89,06:50:00,16:52:00,11:51:19
120,2019-12-30 17:45:00,39.084,2019-12-30,1.0,0.0,10.0,17.78,13.89,06:50:00,16:52:00,11:51:19
121,2019-12-30 17:30:00,38.768,2019-12-30,1.0,0.0,10.0,17.78,13.89,06:50:00,16:52:00,11:51:19
122,2019-12-30 17:15:00,39.105,2019-12-30,1.0,0.0,10.0,17.78,13.89,06:50:00,16:52:00,11:51:19
123,2019-12-30 17:00:00,38.919,2019-12-30,1.0,0.0,10.0,17.78,13.89,06:50:00,16:52:00,11:51:19
124,2019-12-30 16:45:00,39.14,2019-12-30,1.0,0.0,10.0,17.78,13.89,06:50:00,16:52:00,11:51:19
125,2019-12-30 16:30:00,38.625,2019-12-30,1.0,0.0,10.0,17.78,13.89,06:50:00,16:52:00,11:51:19
126,2019-12-30 16:15:00,37.951,2019-12-30,1.0,0.0,10.0,17.78,13.89,06:50:00,16:52:00,11:51:19
127,2019-12-30 16:00:00,35.827,2019-12-30,1.0,0.0,10.0,17.78,13.89,06:50:00,16:52:00,11:51:19
128,2019-12-30 15:45:00,34.963,2019-12-30,1.0,0.0,10.0,17.78,13.89,06:50:00,16:52:00,11:51:19
129,2019-12-30 15:30:00,36.081,2019-12-30,1.0,0.0,10.0,17.78,13.89,06:50:00,16:52:00,11:51:19
130,2019-12-30 15:15:00,35.232,2019-12-30,1.0,0.0,10.0,17.78,13.89,06:50:00,16:52:00,11:51:19
131,2019-12-30 15:00:00,36.337,2019-12-30,1.0,0.0,10.0,17.78,13.89,06:50:00,16:52:00,11:51:19
132,2019-12-30 14:45:00,36.715,2019-12-30,1.0,0.0,10.0,17.78,13.89,06:50:00,16:52:00,11:51:19
133,2019-12-30 14:30:00,36.026,2019-12-30,1.0,0.0,10.0,17.78,13.89,06:50:00,16:52:00,11:51:19
134,2019-12-30 14:15:00,36.281,2019-12-30,1.0,0.0,10.0,17.78,13.89,06:50:00,16:52:00,11:51:19
135,2019-12-30 14:00:00,36.263,2019-12-30,1.0,0.0,10.0,17.78,13.89,06:50:00,16:52:00,11:51:19
